Date,Open,High,Low,Close,Volume
2024-07-24 08:30:00-05:00,114.1500015258789,117.55000305175781,114.0,117.25,3150360
2024-07-25 08:30:00-05:00,117.25,118.8499984741211,114.55000305175781,118.5,3731340
2024-07-26 08:30:00-05:00,116.9000015258789,117.25,114.75,116.05000305175781,2535240
2024-07-29 08:30:00-05:00,115.3499984741211,116.80000305175781,114.9000015258789,115.9000015258789,2105660
2024-07-30 08:30:00-05:00,115.30000305175781,118.5999984741211,114.8499984741211,117.0999984741211,3014460
2024-07-31 08:30:00-05:00,114.1500015258789,114.75,112.19999694824219,113.5,3946560
2024-08-01 08:30:00-05:00,112.69999694824219,118.0999984741211,111.69999694824219,116.6500015258789,4628960
2024-08-02 08:30:00-05:00,119.9000015258789,123.0,119.3499984741211,121.1500015258789,4422740
2024-08-05 08:30:00-05:00,130.8000030517578,131.5,125.4000015258789,128.25,6156360
2024-08-06 08:30:00-05:00,127.3499984741211,128.0500030517578,122.1500015258789,125.9000015258789,4755000
2024-08-07 08:30:00-05:00,122.8499984741211,127.94999694824219,121.4000015258789,127.69999694824219,3793620
2024-08-08 08:30:00-05:00,125.05000305175781,126.1500015258789,121.44999694824219,121.80000305175781,2890540
2024-08-09 08:30:00-05:00,122.30000305175781,122.9000015258789,120.1500015258789,120.8499984741211,1842080
2024-08-12 08:30:00-05:00,120.3499984741211,121.80000305175781,119.6500015258789,120.75,1771680
2024-08-13 08:30:00-05:00,119.30000305175781,119.44999694824219,116.75,116.9000015258789,1960520
2024-08-14 08:30:00-05:00,116.55000305175781,117.75,115.5999984741211,116.0999984741211,1991220
2024-08-15 08:30:00-05:00,113.75,114.0,112.05000305175781,112.25,1899800
2024-08-16 08:30:00-05:00,112.94999694824219,113.05000305175781,111.5999984741211,111.8499984741211,1302240
2024-08-19 08:30:00-05:00,111.75,112.05000305175781,109.75,109.80000305175781,1356100
2024-08-20 08:30:00-05:00,109.94999694824219,110.69999694824219,109.30000305175781,110.1500015258789,1606680
2024-08-21 08:30:00-05:00,109.80000305175781,110.5,108.8499984741211,109.4000015258789,1657840
2024-08-22 08:30:00-05:00,108.69999694824219,111.69999694824219,108.44999694824219,111.19999694824219,2358460
2024-08-23 08:30:00-05:00,109.94999694824219,110.9000015258789,108.55000305175781,108.94999694824219,2197900
2024-08-26 08:30:00-05:00,108.6500015258789,110.19999694824219,108.30000305175781,109.55000305175781,1544460
2024-08-27 08:30:00-05:00,110.05000305175781,110.5,109.05000305175781,109.30000305175781,1590400
2024-08-28 08:30:00-05:00,109.4000015258789,111.8499984741211,109.25,110.5999984741211,2099000
2024-08-29 08:30:00-05:00,109.8499984741211,111.05000305175781,108.5,110.6500015258789,2481300
2024-08-30 08:30:00-05:00,109.8499984741211,111.30000305175781,108.5,108.69999694824219,2143740
2024-09-03 08:30:00-05:00,109.9000015258789,114.1500015258789,109.8499984741211,113.19999694824219,3126100
2024-09-04 08:30:00-05:00,114.0,114.30000305175781,112.30000305175781,113.69999694824219,3435960
