Date,Open,High,Low,Close,Volume
2023-02-06 00:00:00-05:00,845.75,944.0,837.75,921.75,18355176
2023-02-13 00:00:00-05:00,909.0,934.5,838.5,907.25,29829972
2023-02-20 00:00:00-05:00,943.0,1011.75,930.0,994.75,22312392
2023-02-27 00:00:00-05:00,961.5,1032.5,915.5,918.25,23676840
2023-03-06 00:00:00-05:00,906.75,1038.5,878.75,1027.0,33670968
2023-03-12 23:00:00-05:00,1047.5,1064.25,831.0,862.25,39382744
2023-03-19 23:00:00-05:00,868.75,887.75,774.5,808.5,29584296
2023-03-26 23:00:00-05:00,803.25,858.0,732.25,734.0,23798376
2023-04-02 23:00:00-05:00,748.75,793.75,729.5,755.25,18308112
2023-04-09 23:00:00-05:00,777.25,796.5,739.5,751.75,23476464
2023-04-16 23:00:00-05:00,755.25,786.75,732.5,768.25,21920104
2023-04-23 23:00:00-05:00,770.25,818.25,723.0,724.0,26071716
2023-04-30 23:00:00-05:00,727.0,777.25,715.0,721.0,25263472
2023-05-07 23:00:00-05:00,724.75,732.25,695.0,708.5,19909956
2023-05-14 23:00:00-05:00,705.75,716.0,629.0,639.0,22442860
2023-05-21 23:00:00-05:00,640.25,679.75,568.0,572.75,25423712
2023-05-28 23:00:00-05:00,551.25,582.25,537.75,543.5,20136188
2023-06-04 23:00:00-05:00,544.25,574.0,529.75,544.75,23340240
2023-06-11 23:00:00-05:00,537.0,541.5,468.25,487.25,28198516
2023-06-18 23:00:00-05:00,493.5,510.5,483.75,500.5,19246152
2023-06-25 23:00:00-05:00,502.75,521.0,468.25,472.75,23807356
2023-07-02 23:00:00-05:00,470.5,492.5,463.25,486.25,13299568
2023-07-09 23:00:00-05:00,487.75,498.0,425.75,438.75,22184516
2023-07-16 23:00:00-05:00,436.75,452.25,409.5,450.75,24170140
2023-07-23 23:00:00-05:00,447.5,455.75,419.5,424.0,24463588
2023-07-30 23:00:00-05:00,423.25,466.25,419.5,464.25,26758956
2023-08-06 23:00:00-05:00,458.0,493.75,452.5,487.75,27294172
2023-08-13 23:00:00-05:00,491.25,537.0,471.25,522.0,27911740
2023-08-20 23:00:00-05:00,515.75,518.75,462.5,495.5,30094140
2023-08-27 23:00:00-05:00,483.75,495.0,432.75,444.25,23360152
2023-09-03 23:00:00-05:00,447.5,476.0,438.5,463.5,17091072
2023-09-10 23:00:00-05:00,452.25,473.5,443.25,470.5,22334692
2023-09-17 23:00:00-05:00,474.0,513.25,458.75,511.75,23607684
2023-09-24 23:00:00-05:00,516.25,540.75,491.0,511.0,27667072
2023-10-01 23:00:00-05:00,510.25,532.0,479.0,484.0,28577172
2023-10-08 23:00:00-05:00,493.5,499.5,451.0,482.5,26231080
2023-10-15 23:00:00-05:00,477.0,528.0,462.0,527.0,30185472
2023-10-22 23:00:00-05:00,533.5,583.5,504.25,568.75,32561652
2023-10-29 23:00:00-05:00,557.0,564.0,465.25,470.5,27322956
